component_id,F_ref,F_pred,dF
150,-0.94587638,-0.9610673171593249,-0.015190937159324958
151,-0.13219436,-0.13213599420861044,5.8365791389569655e-5
152,0.03759269,0.03479039916716875,-0.0028022908328312474
153,-0.38165317,-0.37256442921492905,0.009088740785070937
154,-0.89828712,-0.9060942622537524,-0.007807142253752453
155,0.14146572,0.14422947361826244,0.002763753618262449
156,0.94343732,0.9498794371357204,0.006442117135720404
157,-0.44514989,-0.44843734707443694,-0.0032874570744369502
158,-0.11638188,-0.12411647789346203,-0.007734597893462036
159,0.84879205,0.8629219772073515,0.014129927207351511
160,1.81200392,1.8220478571455345,0.010043937145534532
161,-0.57829266,-0.5868514802485782,-0.008558820248578236
162,-0.48661144,-0.49184419961827763,-0.005232759618277627
163,0.32372289,0.31868420135061193,-0.005038688649388057
164,-0.97332929,-0.9880328836069681,-0.014703593606968046
165,-0.68402437,-0.6967242747496614,-0.012699904749661317
166,-0.56162844,-0.5524846710656917,0.00914376893430835
167,-0.40600413,-0.4046577580503641,0.0013463719496359383
168,0.14385526,0.15715413186694183,0.013298871866941814
169,-0.8184555,-0.8169049017149472,0.0015505982850527733
170,0.75036115,0.7503593790931209,-1.770906879139389e-6
171,1.39903378,1.4017191129923736,0.0026853329923737235
172,-0.79350922,-0.8022586760866304,-0.008749456086630358
173,0.75260443,0.7617689676185486,0.00916453761854863
174,-0.09677051,-0.09287976079240923,0.003890749207590777
175,1.16009113,1.1827424866475713,0.02265135664757123
176,-0.47231638,-0.4827983655210826,-0.010481985521082593
177,-0.52819871,-0.5112906421082704,0.016908067891729606
178,0.48789494,0.4784621771900657,-0.009432762809934325
179,0.09092376,0.08758325404167411,-0.0033405059583258984
180,-0.35805852,-0.34269431426930397,0.015364205730696023
181,0.32054568,0.3239605526570397,0.0034148726570397137
182,-0.05011077,-0.05486413154140002,-0.00475336154140002
183,-0.27278863,-0.28218103367622405,-0.00939240367622407
184,0.37842605,0.37320075307028056,-0.0052252969297194585
185,-0.2430857,-0.25029268272608785,-0.007206982726087857
186,0.79885441,0.8057033074341462,0.006848897434146184
187,0.03242369,0.03333519285187059,0.0009115028518705895
188,-0.3054235,-0.2939787902533495,0.011444709746650517
189,-0.91751859,-0.9333785858906647,-0.01585999589066467
190,-0.72778211,-0.7318746879515299,-0.004092577951529841
191,0.35343677,0.36310976027783304,0.009672990277833027
192,-0.33745515,-0.3459755961368247,-0.008520446136824733
193,-0.40676316,-0.3912364593309938,0.015526700669006188
194,-0.05275588,-0.04492176988551555,0.007834110114484448
195,0.89546614,0.8828604198915253,-0.012605720108474716
196,0.04162091,0.033912169065896336,-0.007708740934103661
197,0.01218584,0.019194947310130384,0.007009107310130384
198,-1.08714097,-1.0853530119696644,0.0017879580303357123
199,-0.56798365,-0.572909007524883,-0.0049253575248831005
200,0.72658159,0.7348997175766621,0.00831812757666206
201,-1.07051763,-1.072211726689754,-0.0016940966897538434
202,-0.59001954,-0.6036297421501207,-0.013610202150120654
203,-0.05817016,-0.06823275377426996,-0.010062593774269962
204,1.06757238,1.0552125344396746,-0.012359845560325544
205,0.15735041,0.17919305965056864,0.021842649650568646
206,-0.60795513,-0.6157122941751467,-0.0077571641751467135
207,-0.68813363,-0.6916172034610018,-0.003483573461001699
208,-0.21893516,-0.22219246004744697,-0.0032573000474469815
209,0.00584446,0.00038227208401325763,-0.0054621879159867425
210,-0.13914284,-0.13552954042034582,0.0036132995796541723
211,-0.25709952,-0.24909517866356445,0.008004341336435572
212,0.04257135,0.04620810151508481,0.0036367515150848087
213,0.14237747,0.1415618723971086,-0.0008155976028914047
214,-0.28402337,-0.2851335451529913,-0.0011101751529912773
215,-0.29630442,-0.3007504037063504,-0.004445983706350409
216,0.46889522,0.45443980509783466,-0.014455414902165342
217,0.46022266,0.4541850505552052,-0.006037609444794811
218,-0.26894692,-0.2661660732186666,0.0027808467813333904
219,0.09700179,0.09822033137957265,0.0012185413795726407
220,0.14280184,0.1410168661729756,-0.0017849738270244164
221,-0.6626965,-0.666174245153585,-0.00347774515358501
222,0.37448502,0.3740085287453756,-0.00047649125462440045
223,0.75164664,0.7599925429796333,0.008345902979633224
224,0.92097631,0.9251706109974474,0.004194300997447331
225,-0.69185753,-0.6866894823533665,0.005168047646633589
226,0.99019452,0.9816214331581623,-0.008573086841837663
227,-0.6320895,-0.652808019627908,-0.02071851962790805
228,-0.45563039,-0.4660836704057547,-0.010453280405754717
229,0.66167871,0.6477433356567079,-0.013935374343292062
230,-0.47934984,-0.48082180937065466,-0.0014719693706546355
231,1.56885621,1.6062203898212553,0.03736417982125517
232,-1.56189141,-1.5607705709299395,0.001120839070060553
233,0.20508063,0.20662134069254134,0.0015407106925413305
234,-0.27459977,-0.2554811415322873,0.01911862846771273
235,0.40296275,0.40669230726147276,0.0037295572614727823
236,0.48522291,0.4986658841243061,0.013442974124306117
237,0.19074589,0.18903699458893897,-0.0017088954110610344
